Price,Close,High,Low,Open,Volume
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX
Date,,,,,
2015-07-20,46.02114486694336,46.45507702412779,45.6035909260172,45.62815200394531,8029600
2015-07-21,46.012969970703125,46.23402909501809,45.66909918069193,46.16034272024643,6717500
2015-07-22,46.414146423339844,46.56151916497082,46.05390367892535,46.20127642055633,6876100
2015-07-23,46.3077278137207,46.6679706735038,45.98023203338608,46.65159557216395,12439200
2015-07-24,46.9053955078125,48.55924293115383,46.79077294475835,48.403681061382684,14559700
2015-07-27,46.65157699584961,47.05275901085024,46.54514044113842,46.83988590142787,8993500
2015-07-28,46.7825813293457,46.995454469246525,46.3077160045131,46.98726535904934,8689200
2015-07-29,47.08552169799805,47.32295596680395,46.7825901514156,46.97908823120728,8470500
2015-07-30,47.53581619262695,47.60950256206432,46.67614084144762,46.91357504554915,7337900
2015-07-31,47.429378509521484,47.84693251096792,47.265630678731284,47.84693251096792,6519500
2015-08-03,47.64225769042969,48.27268493044147,47.5194491360777,47.994314501387315,7664000
2015-08-04,48.19231414794922,48.20873439209099,47.642246930644546,47.8228664843627,9113100
2015-08-05,48.44682693481445,48.70133605714236,48.299050980380905,48.561768660016654,7349100
2015-08-06,46.98545837402344,48.60281659685219,46.87051978329602,48.54534730148848,11064500
2015-08-07,46.960838317871094,47.09219717914706,46.39435068399663,47.06756837135853,7782000
2015-08-10,46.19730758666992,47.31385931944677,45.77039056344102,47.034721386252556,12029200
2015-08-11,46.26298904418945,46.33687859495956,45.351688760480954,45.80323462325733,8062600
2015-08-12,46.28763198852539,46.30405224058336,45.11361058704498,45.72114425397551,10064400
2015-08-13,46.673484802246094,47.001883494244,46.39434685360048,46.40255854341355,6731500
2015-08-14,46.87873077392578,46.89515102085947,46.517494736910194,46.7555836196859,4803900
2015-08-17,47.404170989990234,47.42058810567416,46.57496571506243,46.79663435889931,5768400
2015-08-18,47.478050231933594,47.666878339729955,47.33847972418071,47.58477711992199,5575400
2015-08-19,47.281009674072266,47.6832978150432,46.89514177679823,47.27280111814444,6044200
2015-08-20,45.819644927978516,46.91977626079009,45.78680443879813,46.79662599228435,7470900
2015-08-21,43.38129806518555,45.03970536452325,43.18425824081675,44.92476677190885,20211500
2015-08-24,41.32881546020508,43.24172880444012,34.522778174463284,39.448739477792415,27158800
2015-08-25,41.94457244873047,44.01347715524471,41.91173194580737,43.479829944193916,19659000
2015-08-26,44.300819396972656,44.456810204692005,42.092347466619515,43.504457635888734,15517600
2015-08-27,45.93459701538086,46.148053994137754,44.670265996731025,44.957612531950375,15987900
2015-08-28,45.671875,46.23015090044306,45.31884750025389,45.72934430164778,7584800
2015-08-31,44.91655731201172,45.540514176944946,44.74414941453356,45.31063384846548,7971200
2015-09-01,43.92316436767578,44.62921947355939,43.29921051354754,43.512667504426474,13424900
2015-09-02,45.36810302734375,45.39273496394812,44.12840412210981,44.74414929590669,9891100
2015-09-03,44.90013885498047,45.77860175640266,44.72773095062854,45.745764392603746,7968900
2015-09-04,44.56351852416992,44.801607349920936,44.20228257367403,44.22691137225478,6994300
2015-09-08,45.327056884765625,45.52409673103803,44.768780974142956,45.40915812564667,8051700
2015-09-09,44.90013885498047,45.97564159840633,44.801620499899656,45.89354349114599,8406700
