Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-05-26,27.229320526123047,27.534858987199435,27.01932405344371,27.497537037826792,37474000
2015-05-27,27.580636978149414,27.632389595385217,27.198962612456,27.303462541988,34844000
2015-05-28,27.5771541595459,27.655778731057346,27.40895957410926,27.557748114142544,23544000
2015-05-29,27.136262893676758,27.565211854338155,27.122329569616472,27.5283872557761,43446000
2015-06-01,27.329837799072266,27.397513131980475,27.049677372775,27.305951829141996,33210000
2015-06-02,27.56570816040039,27.8065572371483,27.19746788351159,27.241259142449287,31842000
2015-06-03,27.63239097595215,27.766748848465934,27.47613842137767,27.622935677586938,26710000
2015-06-04,27.4532470703125,27.66573216866478,27.32535851291281,27.47763038835437,26866000
2015-06-05,27.345762252807617,27.53485873583574,27.23877367799511,27.468675441344192,24396000
2015-06-08,27.044700622558594,27.36268034919054,27.018326016136143,27.34974171975514,27336000
2015-06-09,26.979015350341797,27.112378530156708,26.81430218953417,27.04171531232723,30016000
2015-06-10,27.498531341552734,27.607013856805626,27.125814895529622,27.15517358841303,30316000
2015-06-11,27.371139526367188,27.60949997203479,27.3278456140786,27.59258066479455,25872000
2015-06-12,27.243249893188477,27.311919916198185,27.15168669872066,27.227325281632748,25468000
2015-06-15,27.020814895629883,27.07306486312081,26.832217665106416,27.00737891852177,27150000
2015-06-16,27.11387062072754,27.2044372326442,26.94965670546712,27.094464574330054,32526000
2015-06-17,27.1999568939209,27.28753751472937,26.961596449742533,27.141237615609164,24440000
2015-06-18,27.676679611206055,27.729924273741336,27.26962531457906,27.26962531457906,41192000
2015-06-19,27.74336051940918,27.762768463900272,27.481613332198364,27.693599187553787,59290000
2015-06-22,27.850845336914062,28.14593567999445,27.81252869528142,27.837411258497703,34752000
2015-06-23,28.035463333129883,28.110604572572235,27.724947628160667,27.8563195111651,31396000
2015-06-24,27.795610427856445,27.998142882586187,27.708029800600052,27.990181525091916,28924000
2015-06-25,27.76475715637207,28.023022904170073,27.74037383861748,27.881698371393778,26684000
2015-06-26,27.521421432495117,27.866770459319735,27.461210108334733,27.85233978728508,43676000
2015-06-29,26.933731079101562,27.413935321154113,26.88347050283797,27.207422193091396,37756000
2015-06-30,26.873519897460938,27.165125016021655,26.84863733383414,27.12481708528841,34510000
2015-07-01,27.035743713378906,27.16064628271771,26.859585873747438,27.053657716036287,30760000
2015-07-02,27.23678207397461,27.26962409562764,27.0491776489155,27.107399580949497,28124000
