Price,Close,High,Low,Open,Volume
Ticker,MRK,MRK,MRK,MRK,MRK
Date,,,,,
2015-12-30,38.373477935791016,38.61128441137622,38.250969212454834,38.43833346160571,5827194
2015-12-31,38.0636100769043,38.40230390615598,37.948309436960855,38.04919677667849,8690959
2016-01-04,37.81859588623047,37.91227801726564,37.19164756973266,37.47990205349107,17998981
2016-01-05,38.301422119140625,38.53202343245866,37.95552014916358,38.04199420119189,11607124
2016-01-06,37.77536392211914,38.1572977071015,37.624031450263345,37.84021946108652,13064263
2016-01-07,37.44387435913086,37.703299389727235,37.06914579379719,37.12679612069992,13330560
2016-01-08,36.80971908569336,37.847424922651776,36.65117853323705,37.84021683153503,14835698
2016-01-11,36.93221664428711,37.14119938293538,36.47101415373396,36.93221664428711,15057035
2016-01-12,37.299739837646484,37.5231358912398,36.73764998003934,37.119583681508544,11864408
2016-01-13,36.507049560546875,37.51592866771166,36.44939924353942,37.40783612390477,17340837
2016-01-14,37.32857131958008,37.55196452146825,36.456608380322805,36.51425870354098,14219788
2016-01-15,36.85295867919922,36.968259335792496,36.103504411342925,36.39175605282612,16233939
2016-01-19,36.9970817565918,37.40784213182251,36.615147984960196,37.184446037190654,11454116
2016-01-20,36.42778778076172,36.766481658109726,35.527001043170664,36.24042349401404,16684579
2016-01-21,36.694419860839844,36.982671493400986,36.09629808339196,36.593529628744584,12499706
2016-01-22,37.00429916381836,37.285342774537796,36.716047459918606,37.06915471684611,11331814
2016-01-25,36.694419860839844,37.06914554270342,36.57911920781539,37.00429000572659,9725964
2016-01-26,37.076351165771484,37.184446609534284,36.57911961488543,36.78809953000254,9450340
2016-01-27,36.29806900024414,37.16282380774349,35.90893005710231,36.50705177217292,13748817
2016-01-28,35.454925537109375,36.42056749008729,35.29638790800902,36.26923795017481,18996991
2016-01-29,36.51426696777344,36.51426696777344,35.728780776031066,35.887321361462114,17734990
2016-02-01,36.57190704345703,36.73765279407024,35.916135012529324,36.31248204350971,11979898
2016-02-02,36.326908111572266,36.398968876315564,35.959387551931194,36.22601785525315,15614466
2016-02-03,36.06747055053711,36.1107075740745,35.00814618828062,35.757600413632915,20507893
2016-02-04,35.01534652709961,35.8440665248375,34.6117943412563,35.81524280917138,21598442
2016-02-05,35.58464431762695,35.829658883965436,34.78474509263865,35.02255444973505,17693384
2016-02-08,35.18830490112305,35.548620178655845,34.56856458280036,35.260368532815995,13985665
2016-02-09,35.42610549926758,35.721562282425644,34.87842606791042,35.08740881928807,11160257
2016-02-10,35.69273376464844,36.32688714248963,35.66390717064478,35.67832046764661,11565833
